A	A
A quarter turn left	Un quart de tour à gauche
A quarter turn right	Un quart de tour à droite
A run of items out of a list	Une portion d'éléments d'une liste
A to Z / smallest first	De A à Z / plus petit d'abord
Above	Au-dessus
Account	Compte
Act on Notification	Agir sur une notification
Action	Action
Activate	Activer
Activates a lighting scene you set up in the Hue app, or turns its room off — Philips Hue	Active une scène lumineuse configurée dans l'app Hue, ou éteint sa pièce — Philips Hue
Active	Actif
Active from	Actif à partir de
Active until (earlier than \'from\' runs past midnight)	Actif jusqu'à (une heure antérieure à « à partir de » franchit minuit)
Add Calendar Event	Ajouter un rendez-vous
Add to List	Ajouter à la liste
Add to the end instead of replacing	Ajouter à la fin au lieu de remplacer
Adjusts an audio stream\'s volume (up, down, set, mute or unmute)	Ajuste le volume d'un canal audio (monter, baisser, définir, couper ou rétablir)
Airplane Mode Changed	Mode avion modifié
Airplane mode	Mode avion
Alarm	Alarme
Alarms	Alarmes
All	Tout
All day	Journée entière
Also fire on messages the broker had stored	Déclencher aussi sur les messages que le broker avait conservés
Also when only its details change	Aussi quand seuls ses détails changent
Also when the device starts moving	Aussi quand l'appareil se met à bouger
Always (high battery use)	Toujours (forte consommation de batterie)
Amber	Ambre
Ambient Light	Lumière ambiante
Ambient light	Lumière ambiante
Answer	Réponse
Answer type	Type de réponse
Answers whether a file exists, how big it is and when it changed	Indique si un fichier existe, sa taille et sa date de modification
Any	N'importe lequel
Anything	N'importe lequel
App	Application
App (optional)	Application (facultatif)
App Initialised	Application initialisée
App Installed / Removed	Application installée / désinstallée
Appends an item to a named list, usually from inside a loop	Ajoute un élément à une liste nommée, généralement depuis une boucle
Applies to	S'applique à
Appointment	Rendez-vous
Artist	Auteur
Ask AI	Demander à l'IA
Ask AI (with tools)	Demander à l'IA (avec outils)
Ask AI About a Picture	Interroger l'IA sur une image
Ask Yes or No	Demander oui ou non
Ask for Input	Demander une saisie
Ask the broker to keep this message	Demander au broker de conserver ce message
Ask to Choose	Demander de choisir
Asks an AI model to do something, letting it read from the phone and run nodes and macros you choose until it has an answer	Demande à un modèle d'IA de faire quelque chose, en le laissant lire le téléphone et exécuter les nœuds et macros que vous choisissez jusqu'à obtenir une réponse
Asks the user a yes/no question in a popup dialog and branches on the answer	Pose à l'utilisateur une question oui/non dans une boîte de dialogue et bifurque selon la réponse
Asks the user to type a value in a popup dialog and puts it on a port	Demande à l'utilisateur de saisir une valeur dans une boîte de dialogue et la place sur un port
At	À
At a time of day	À une heure de la journée
Attribute (optional)	Attribut (facultatif)
Auto	Auto
Auto brightness	Luminosité automatique
Automatic	Automatique
Away for (minutes)	Absent depuis (minutes)
B	B
Back by	Reculer de
Back camera	Appareil photo arrière
Balanced	Équilibré
Battery Level	Niveau de batterie
Battery level	Niveau de batterie
Bcc	Cci
Begins recording sound from the microphone and carries on, until Stop Recording or the time limit ends it	Commence à enregistrer le son du micro et continue jusqu'à ce que Arrêter l'enregistrement ou la limite de temps y mette fin
Below	En dessous
Between two times	Entre deux moments
Blue	Bleu
Bluetooth Device Connected	Appareil Bluetooth connecté
Bluetooth State Change	Changement d'état du Bluetooth
Bluetooth enabled	Bluetooth activé
Body	Corps
Boolean	Oui/non
Both	Les deux
Break Struct	Décomposer la structure
Brightness %	Luminosité %
Broker	Broker
Build text	Construire du texte
Busy	Occupé
Button	Bouton
Button label	Libellé du bouton
Buttons — one per line	Boutons : un par ligne
C	C
Calendar	Agenda
Calendar Changed	Agenda modifié
Calendar Event	Rendez-vous de l'agenda
Call Home Assistant Service	Appeler un service Home Assistant
Called by Another App	Appelée par une autre application
Calls a web API and exposes the typed response	Appelle une API web et expose la réponse typée
Camera	Appareil photo
Camera maker	Fabricant de l'appareil photo
Camera model	Modèle de l'appareil photo
Cancel button	Bouton Annuler
Carries on at once and continues again at a chosen moment	Poursuit immédiatement et repart à un moment choisi
Carry on now	Continuer maintenant
Cc	Cc
Change	Changement
Change Picture Details	Modifier les détails de l'image
Change format or quality	Changer le format ou la qualité
Change how it shows you	Changer comment il vous affiche
Changes from	Passe de
Changes or deletes an appointment, either one occurrence of it or the whole series	Modifie ou supprime un rendez-vous, soit une seule occurrence, soit toute la série
Changes to	Passe à
Charging	En charge
Charging started	Charge commencée
Charging stopped	Charge arrêtée
Check every (minutes, minimum 15)	Vérifier toutes les (minutes, minimum 15)
Choice	Choix
Clear	Vider
Clipboard	Presse-papiers
Clock Changed	Horloge modifiée
Close automatically after (seconds)	Fermer automatiquement après (secondes)
Colour	Couleur
Combines words and values into one piece of text	Combine des mots et des valeurs en un seul texte
Command	Commande
Compare against	Comparer à
Compare as	Comparer comme
Confirm button	Bouton Confirmer
Confirmed by the broker	Confirmée par le broker
Confirmed exactly once	Confirmée exactement une fois
Connected	Connecté
Connection	Connexion
Contains	Contient
Control Light	Piloter une lumière
Control Media	Contrôler le lecteur
Control Scene	Piloter une scène
Conversation ID	Identifiant de conversation
Convert	Convertir
Convert to	Convertir en
Copies, moves or renames a file on the phone	Copie, déplace ou renomme un fichier du téléphone
Copy it	Le copier
Copy or Move File	Copier ou déplacer un fichier
Copyright	Droits d'auteur
Count	Nombre
Count items	Compter les éléments
Covered	Couvert
Creates an appointment in one of the calendars on this phone	Crée un rendez-vous dans l'un des agendas de ce téléphone
Crop	Recadrer
Current time	Heure actuelle
Custom	Personnalisé
Custom sound	Son personnalisé
Dark Theme Change	Changement de thème sombre
Dark theme	Thème sombre
Data contains	Les données contiennent
Date &amp; time	Date et heure
Date rolled over	Changement de date
Date taken	Date de prise de vue
Date time	Date et heure
Days	Jours
Days ahead	Jours à venir
Days of month (e.g. 1,15, empty = every day)	Jours du mois (par ex. 1,15 ; vide = tous les jours)
Delete	Supprimer
Delete File	Supprimer un fichier
Delete Picture	Supprimer l'image
Delete for good	Supprimer définitivement
Delivery	Livraison
Description	Description
Details	Détails
Device Boot	Démarrage de l'appareil
Device Docked	Appareil sur station
Device Movement	Mouvement de l'appareil
Device Orientation	Orientation de l'appareil
Device Shutting Down	Appareil en cours d'arrêt
Device Unlocked	Appareil déverrouillé
Device orientation	Orientation de l'appareil
Direction	Direction
Disable Macro	Désactiver une macro
Disabled	Désactivé
Disables another macro by id (persists the flag and disarms its triggers)	Désactive une autre macro par son identifiant (enregistre l'état et désarme ses déclencheurs)
Disappear after (seconds)	Disparaître après (secondes)
Disconnected	Déconnecté
Dismiss	Ignorer
Do Not Disturb	Ne pas déranger
Docked	Sur station
Don\'t start again until it changes back by (lux)	Ne pas redémarrer avant que cela revienne de (lux)
Double	Double
Double tap	Double appui
Down	Baisser
Duration	Durée
Duration (ms, used when pattern is empty)	Durée (ms, utilisée quand il n'y a pas de motif)
Dwell delay (ms)	Délai de présence (ms)
Edit Picture	Modifier l'image
Ejected	Éjecté
Email Received	E-mail reçu
Empty List	Vider la liste
Empty Trigger	Déclencheur vide
Enable Macro	Activer une macro
Enabled	Activé
Enables another macro by id (persists the flag and arms its triggers)	Active une autre macro par son identifiant (enregistre l'état et arme ses déclencheurs)
Ends the recording that is running and saves it as a file	Termine l'enregistrement en cours et le sauvegarde dans un fichier
Entity	Entité
Equals	Égal à
Event	Événement
Event type	Type d'événement
Events	Rendez-vous
Extra data (JSON)	Données supplémentaires (JSON)
Face down	Écran vers le bas
Face up	Écran vers le haut
Fade time (ms)	Durée de transition (ms)
Falls below	Descend sous
Fast	Rapide
Fetch Email	Récupérer les e-mails
Field	Champ
File	Fichier
File Details	Détails du fichier
File name	Nom du fichier
File or folder	Fichier ou dossier
Files	Fichiers
Find Calendar Events	Chercher des rendez-vous
Find Pictures	Rechercher des images
Finds photos and screenshots on this phone onto a list you can loop over	Recherche les photos et captures d'écran de ce téléphone et les place dans une liste que vous pouvez parcourir
Fire time	Heure de déclenchement
Fire when	Déclencher quand
Fires immediately when the workflow starts (no external event)	Se déclenche dès que le flux démarre (aucun événement externe)
Fires when a macro finishes executing after being triggered	Se déclenche quand une macro finit de s'exécuter après avoir été déclenchée
