A	A
A quarter turn left	Um quarto de volta à esquerda
A quarter turn right	Um quarto de volta à direita
A run of items out of a list	Um troço de elementos de uma lista
A to Z / smallest first	De A a Z / menor primeiro
Above	Acima
Account	Conta
Act on Notification	Agir sobre uma notificação
Action	Ação
Activate	Ativar
Activates a lighting scene you set up in the Hue app, or turns its room off — Philips Hue	Ativa uma cena de luz que configuraste na app Hue, ou desliga a divisão dela — Philips Hue
Active	Ativo
Active from	Ativo a partir de
Active until (earlier than \'from\' runs past midnight)	Ativo até (mais cedo do que «a partir de» passa da meia-noite)
Add Calendar Event	Adicionar compromisso
Add to List	Adicionar à lista
Add to the end instead of replacing	Acrescentar ao fim em vez de substituir
Adjusts an audio stream\'s volume (up, down, set, mute or unmute)	Ajusta o volume de um canal de áudio (subir, baixar, definir, silenciar ou retirar o silêncio)
Airplane Mode Changed	Modo de avião alterado
Airplane mode	Modo de avião
Alarm	Alarme
Alarms	Alarmes
All	Tudo
All day	Todo o dia
Also fire on messages the broker had stored	Disparar também com mensagens que o broker tinha guardadas
Also when only its details change	Também quando só mudam os detalhes
Also when the device starts moving	Também quando o dispositivo começa a mexer-se
Always (high battery use)	Sempre (muito consumo de bateria)
Amber	Âmbar
Ambient Light	Luz ambiente
Ambient light	Luz ambiente
Answer	Resposta
Answer type	Tipo de resposta
Answers whether a file exists, how big it is and when it changed	Indica se um ficheiro existe, que tamanho tem e quando mudou
Any	Qualquer
Anything	Qualquer
App	Aplicação
App (optional)	Aplicação (opcional)
App Initialised	Aplicação inicializada
App Installed / Removed	Aplicação instalada / removida
Appends an item to a named list, usually from inside a loop	Acrescenta um elemento a uma lista com nome, normalmente a partir de um ciclo
Applies to	Aplica-se a
Appointment	Compromisso
Artist	Autor
Ask AI	Perguntar à IA
Ask AI (with tools)	Perguntar à IA (com ferramentas)
Ask AI About a Picture	Perguntar à IA sobre uma imagem
Ask Yes or No	Perguntar sim ou não
Ask for Input	Pedir uma entrada
Ask the broker to keep this message	Pedir ao broker que guarde esta mensagem
Ask to Choose	Pedir para escolher
Asks an AI model to do something, letting it read from the phone and run nodes and macros you choose until it has an answer	Pede a um modelo de IA que faça algo, deixando-o ler o telemóvel e executar os nós e macros que escolher até ter uma resposta
Asks the user a yes/no question in a popup dialog and branches on the answer	Faz ao utilizador uma pergunta de sim/não numa caixa de diálogo e ramifica conforme a resposta
Asks the user to type a value in a popup dialog and puts it on a port	Pede ao utilizador que escreva um valor numa caixa de diálogo e coloca-o numa porta
At	Às
At a time of day	A uma hora do dia
Attribute (optional)	Atributo (opcional)
Auto	Automático
Auto brightness	Brilho automático
Automatic	Automático
Away for (minutes)	Fora há (minutos)
B	B
Back camera	Câmara traseira
Balanced	Equilibrado
Battery Level	Nível de bateria
Battery level	Nível de bateria
Bcc	Bcc
Below	Abaixo
Between two times	Entre dois momentos
Blue	Azul
Bluetooth Device Connected	Dispositivo Bluetooth ligado
Bluetooth State Change	Alteração do estado do Bluetooth
Bluetooth enabled	Bluetooth ativado
Body	Corpo
Boolean	Sim/não
Both	Ambos
Break Struct	Decompor estrutura
Brightness %	Brilho %
Broker	Broker
Build text	Construir texto
Busy	Ocupado
Button	Botão
Button label	Texto do botão
Buttons — one per line	Botões: um por linha
C	C
Calendar	Calendário
Calendar Changed	Calendário alterado
Calendar Event	Compromisso do calendário
Call Home Assistant Service	Chamar um serviço do Home Assistant
Called by Another App	Chamada por outra aplicação
Calls a web API and exposes the typed response	Chama uma API web e expõe a resposta tipificada
Camera	Câmara
Camera maker	Fabricante da câmara
Camera model	Modelo da câmara
Cancel button	Botão Cancelar
Carries on at once and continues again at a chosen moment	Segue de imediato e continua outra vez num momento escolhido
Carry on now	Continuar agora
Cc	Cc
Change	Alteração
Change Picture Details	Alterar detalhes da imagem
Change format or quality	Mudar formato ou qualidade
Change how it shows you	Alterar como o mostra
Changes from	Muda de
Changes or deletes an appointment, either one occurrence of it or the whole series	Altera ou elimina um compromisso, seja uma única ocorrência, seja toda a série
Changes to	Muda para
Charging	A carregar
Charging started	Começou a carregar
Charging stopped	Deixou de carregar
Check every (minutes, minimum 15)	Verificar a cada (minutos, mínimo 15)
Choice	Escolha
Clear	Limpar
Clipboard	Área de transferência
Clock Changed	Relógio alterado
Close automatically after (seconds)	Fechar automaticamente após (segundos)
Colour	Cor
Combines words and values into one piece of text	Junta palavras e valores num só texto
Compare against	Comparar com
Compare as	Comparar como
Confirm button	Botão Confirmar
Confirmed by the broker	Confirmada pelo broker
Confirmed exactly once	Confirmada exatamente uma vez
Connected	Ligado
Connection	Ligação
Contains	Contém
