app_name	Ottomatic
accessibility_service_label	Ottomatic button triggers
accessibility_service_summary	Lets macros start when you press the volume buttons.
accessibility_service_description	Ottomatic uses this only to notice volume button presses, so your macros can start when you press them. It never reads screen content, and it never changes what the buttons do — the volume keys keep working normally.
shortcut_new_macro_short	New macro
shortcut_new_macro_long	Create a new macro
widget_run_tile_label	Run tile
widget_panel_label	Ottomatic panel
widget_run_tile_description	One macro, one tap. Pick a manual trigger and run it from the home screen.
widget_panel_description	Engine state, problems, the last run and a grid of manual triggers — pick which of those it shows.
permission_bind_plugin_label	Provide Ottomatic nodes
permission_bind_plugin_description	Lets Ottomatic use the extra trigger and action
        nodes this app provides. The app runs its own code under its own permissions; Ottomatic does
        not share its permissions with it.
ai_provider_gemini	Google Gemini
ai_provider_anthropic	Anthropic Claude
ai_provider_openai	OpenAI (ChatGPT)
ai_provider_openrouter	OpenRouter
ai_provider_self_hosted	Self-hosted / OpenAI-compatible
ai_default_name_gemini	Gemini
ai_default_name_anthropic	Claude
ai_default_name_openai	ChatGPT
ai_default_name_openrouter	OpenRouter
ai_default_name_self_hosted	Self-hosted
ai_console_gemini	Google AI Studio
ai_console_anthropic	the Anthropic Console
ai_console_openai	the OpenAI platform
ai_console_openrouter	OpenRouter
ai_open_console	Open %1$s
ai_cost_gemini	The free tier is generous, but it is your quota — a macro that asks the AI every minute will use it up. You can revoke the key from the same page at any time.
ai_cost_anthropic	Prompts are billed to your own Anthropic credit, so a macro that asks the AI every minute costs money. You can revoke the key from the same page at any time.
ai_cost_openai	Prompts are billed to your own OpenAI account, so a macro that asks the AI every minute costs money. You can revoke the key from the same page at any time.
ai_cost_openrouter	Prompts are billed to your own OpenRouter credit, and the price depends on which model you choose. You can revoke the key from the same page at any time.
ai_cost_self_hosted	Prompts go to your own server and nowhere else, so they cost nothing and leave no network you control. The server has to be reachable whenever the macro runs.
ai_privacy_gemini	Prompts are answered by Google\'s servers, so an Ask AI node takes a moment.
ai_privacy_anthropic	Prompts are answered by Anthropic\'s servers, so an Ask AI node takes a moment.
ai_privacy_openai	Prompts are answered by OpenAI\'s servers, so an Ask AI node takes a moment.
ai_privacy_openrouter	Prompts go through OpenRouter to whichever provider serves the model you chose, so an Ask AI node takes a moment.
ai_privacy_self_hosted	Prompts go only to the server you named above.
ai_model_fast	Fast
ai_model_balanced	Balanced
ai_model_thorough	Thorough
ai_loading_models	Loading models…
ai_asking_the_model	Asking the model…
ai_key_not_stored_securely	This phone would not store the key securely.
ai_steps_gemini:0	Tap the button below. Google AI Studio opens in your browser.
ai_steps_gemini:1	Sign in with your Google account if you are asked to.
ai_steps_gemini:2	Tap \"Create API key\". If it asks which project to use, pick any — or let it make a new one for you.
ai_steps_gemini:3	Tap the key to copy it.
ai_steps_gemini:4	Come back here and tap the paste button beside the key field.
ai_steps_anthropic:0	Tap the button below. The Anthropic Console opens in your browser.
ai_steps_anthropic:1	Sign in, or create an account if you do not have one.
ai_steps_anthropic:2	Tap \"Create Key\", give it a name, and confirm.
ai_steps_anthropic:3	Copy the key — it is shown once and never again.
ai_steps_anthropic:4	Come back here and tap the paste button beside the key field.
ai_steps_openai:0	Tap the button below. The OpenAI platform opens in your browser.
ai_steps_openai:1	Sign in, or create an account if you do not have one.
ai_steps_openai:2	Tap \"Create new secret key\" and confirm.
ai_steps_openai:3	Copy the key — it is shown once and never again.
ai_steps_openai:4	Come back here and tap the paste button beside the key field.
ai_steps_openrouter:0	Tap the button below. OpenRouter opens in your browser.
ai_steps_openrouter:1	Sign in, or create an account if you do not have one.
ai_steps_openrouter:2	Tap \"Create Key\" and confirm.
ai_steps_openrouter:3	Copy the key, then come back here and tap the paste button.
ai_steps_openrouter:4	Load the model list below and choose which model each speed setting uses.
ai_steps_self_hosted:0	Start your model server — vLLM, Ollama, LM Studio and llama.cpp all work.
ai_steps_self_hosted:1	Put its address below, including http:// or https:// and the port.
ai_steps_self_hosted:2	Paste its API key if it wants one. Many local servers accept anything.
ai_steps_self_hosted:3	Load the model list, or type the model name your server was started with.
perm_title_overlay	Draw over other apps
perm_title_notification_listener	Notification access
perm_title_notification_policy	Do Not Disturb access
perm_title_accessibility_service	Accessibility access
perm_title_battery_optimisation	Unrestricted battery use
perm_title_exact_alarm	Alarms &amp; reminders
perm_title_write_settings	Modify system settings
perm_title_nfc	NFC
perm_title_foreground_service	Foreground service
perm_title_device_admin	Device administrator
perm_title_access_fine_location	Location
perm_title_access_coarse_location	Approximate location
perm_title_access_background_location	Location in the background
perm_title_receive_sms	Receive texts
perm_title_send_sms	Send texts
perm_title_call_phone	Make calls
perm_title_read_contacts	Contacts
perm_title_post_notifications	Notifications
perm_title_bluetooth_connect	Bluetooth
perm_desc_overlay	Lets a macro put a dialog on screen, and open other apps, while you are looking at something else. Android blocks both from a background app without it.
perm_desc_notification_listener	Lets Ottomatic see notifications from other apps, so a macro can react to one.
perm_desc_notification_policy	Lets a macro turn Do Not Disturb on and off, and switch the ringer to silent.
perm_desc_accessibility_service	Lets Ottomatic see volume and power button presses. It never reads screen content.
perm_desc_battery_optimisation	Keeps Android from stopping the engine in the background. Without it, macros may not re-arm after a reboot and time-based triggers can be delayed.
perm_desc_exact_alarm	Lets a schedule fire, and a wait end, at the minute you asked for. Without it Android is free to batch it with other work, so it may run late.
perm_desc_write_settings	Lets a macro change screen brightness, screen timeout and auto-rotate.
perm_desc_nfc	Lets a macro run when you hold an NFC tag to the back of your phone. Ottomatic cannot switch NFC on for you, and tags are only read while the screen is on and unlocked.
perm_desc_foreground_service	Lets Ottomatic keep its engine running while your macros are armed.
perm_desc_device_admin	Lets Ottomatic use device administrator features.
perm_desc_access_fine_location	Lets a geofence know when you arrive somewhere or leave it.
perm_desc_access_coarse_location	A rougher fix, used when precise location is not available.
perm_desc_access_background_location	Lets a geofence keep working while Ottomatic is closed — which is the only time it is any use. Granted by choosing \"Allow all the time\".
perm_desc_receive_sms	Lets a macro run when a text arrives, and read who it is from and what it says.
perm_desc_send_sms	Lets a macro send a text on your behalf.
perm_desc_call_phone	Lets a macro place a call without you confirming it.
