A	A
A quarter turn left	向左旋转 90°
A quarter turn right	向右旋转 90°
A run of items out of a list	列表中的一段元素
A to Z / smallest first	A 到 Z / 从小到大
Above	高于
Account	账户
Act on Notification	处理通知
Action	动作
Activate	启用
Activates a lighting scene you set up in the Hue app, or turns its room off — Philips Hue	启用你在 Hue 应用中设置的灯光场景，或关闭它所属的房间 — Philips Hue
Active	启用中
Active from	生效起始
Active until (earlier than \'from\' runs past midnight)	生效结束（早于“起始”则跨过午夜）
Add Calendar Event	添加日程
Add to List	添加到列表
Add to the end instead of replacing	追加到末尾而不是覆盖
Adjusts an audio stream\'s volume (up, down, set, mute or unmute)	调整某个音频通道的音量（调高、调低、设定、静音或取消静音）
Airplane Mode Changed	飞行模式已改变
Airplane mode	飞行模式
Alarm	闹钟
Alarms	闹钟
All	全部
All day	全天
Also fire on messages the broker had stored	也对代理已保存的消息触发
Also when only its details change	仅细节变化时也触发
Also when the device starts moving	设备开始移动时也触发
Always (high battery use)	始终（耗电较高）
Amber	琥珀色
Ambient Light	环境光
Ambient light	环境光
Answer	回答
Answer type	回答类型
Answers whether a file exists, how big it is and when it changed	告诉你文件是否存在、有多大、何时改动过
Any	任意
Anything	任意
App	应用
App (optional)	应用（可选）
App Initialised	应用已初始化
App Installed / Removed	应用已安装 / 已卸载
Appends an item to a named list, usually from inside a loop	向指定列表追加一个元素，通常在循环内使用
Applies to	应用于
Appointment	日程
Artist	作者
Ask AI	询问 AI
Ask AI (with tools)	询问 AI（可用工具）
Ask AI About a Picture	就图片询问 AI
Ask Yes or No	询问是或否
Ask for Input	请求输入
Ask the broker to keep this message	请求代理保留此消息
Ask to Choose	请求选择
Asks an AI model to do something, letting it read from the phone and run nodes and macros you choose until it has an answer	让 AI 模型去做一件事，允许它读取手机信息并运行你选定的节点和宏，直到得出答案
Asks the user a yes/no question in a popup dialog and branches on the answer	用弹出对话框向用户提一个是/否问题，并按回答分支
Asks the user to type a value in a popup dialog and puts it on a port	用弹出对话框请用户输入一个值，并把它放到端口上
At	于
At a time of day	在一天中的某个时刻
Attribute (optional)	属性（可选）
Auto	自动
Auto brightness	自动亮度
Automatic	自动
Away for (minutes)	离开时长（分钟）
B	B
Back by	后退
Back camera	后置摄像头
Balanced	均衡
Battery Level	电量
Battery level	电量
Bcc	密送
Begins recording sound from the microphone and carries on, until Stop Recording or the time limit ends it	开始用麦克风录音并继续进行，直到“停止录音”或达到时间上限
Below	低于
Between two times	两个时间点之间
Blue	蓝色
Bluetooth Device Connected	蓝牙设备已连接
Bluetooth State Change	蓝牙状态改变
Bluetooth enabled	蓝牙已开启
Body	正文
Boolean	是/否
Both	两者
Break Struct	拆分结构体
Brightness %	亮度 %
Broker	代理
Build text	构建文本
Busy	忙碌
Button	按钮
Button label	按钮文字
Buttons — one per line	按钮——每行一个
C	C
Calendar	日历
Calendar Changed	日历已更改
Calendar Event	日历日程
Call Home Assistant Service	调用 Home Assistant 服务
Called by Another App	由其他应用调用
Calls a web API and exposes the typed response	调用一个网络 API，并给出带类型的响应
Camera	摄像头
Camera maker	相机厂商
Camera model	相机型号
Cancel button	取消按钮
Carries on at once and continues again at a chosen moment	立即继续，并在选定的时刻再次继续
Carry on now	立即继续
Cc	抄送
Change	变化
Change Picture Details	修改图片详情
Change format or quality	更改格式或质量
Change how it shows you	更改显示状态
Changes from	变化前为
Changes or deletes an appointment, either one occurrence of it or the whole series	修改或删除日程，可以只针对一次，也可以针对整个系列
Changes to	变化后为
Charging	充电中
Charging started	开始充电
Charging stopped	停止充电
Check every (minutes, minimum 15)	检查间隔（分钟，最少 15）
Choice	选择
Clear	清空
Clipboard	剪贴板
Clock Changed	时钟已改变
Close automatically after (seconds)	自动关闭延时（秒）
Colour	颜色
Combines words and values into one piece of text	把文字和值拼成一段文本
Command	命令
Compare against	比较对象
Compare as	比较方式
Confirm button	确认按钮
Confirmed by the broker	由代理确认
Confirmed exactly once	确认且仅一次
Connected	已连接
Connection	连接
Contains	包含
Control Light	控制灯
Control Media	控制媒体
Control Scene	控制场景
Conversation ID	会话 ID
Convert	转换
Convert to	转换为
Copies, moves or renames a file on the phone	复制、移动或重命名手机上的文件
Copy it	复制
Copy or Move File	复制或移动文件
Copyright	版权
Count	数量
Count items	统计元素个数
Covered	被遮挡
Creates an appointment in one of the calendars on this phone	在这台手机的某个日历中创建日程
Crop	裁剪
Current time	当前时间
Custom	自定义
Custom sound	自定义声音
Dark Theme Change	深色主题改变
Dark theme	深色主题
Data contains	数据包含
Date &amp; time	日期与时间
Date rolled over	日期已翻篇
Date taken	拍摄日期
Date time	日期时间
Days	天
Days ahead	往后几天
Days of month (e.g. 1,15, empty = every day)	每月的哪几天（例如 1,15；留空 = 每天）
Delete	删除
Delete File	删除文件
Delete Picture	删除图片
Delete for good	彻底删除
Delivery	送达方式
Description	描述
Details	详情
Device Boot	设备启动
Device Docked	设备已放入底座
Device Movement	设备移动
Device Orientation	设备朝向
Device Shutting Down	设备正在关机
Device Unlocked	设备已解锁
Device orientation	设备朝向
Direction	方向
Disable Macro	停用宏
Disabled	已停用
Disables another macro by id (persists the flag and disarms its triggers)	按 id 停用另一个宏（保存状态并解除它的触发器）
Disappear after (seconds)	消失时长（秒）
Disconnected	已断开
Dismiss	清除
Do Not Disturb	勿扰模式
Docked	在底座上
Don\'t start again until it changes back by (lux)	回落多少后才允许再次启动（勒克斯）
Double	双击
Double tap	双击
Down	调低
Duration	时长
Duration (ms, used when pattern is empty)	时长（毫秒，未填写振动模式时使用）
Dwell delay (ms)	停留延时（毫秒）
Edit Picture	编辑图片
Ejected	已弹出
Email Received	收到邮件
Empty List	清空列表
Empty Trigger	空触发器
Enable Macro	启用宏
Enabled	已启用
Enables another macro by id (persists the flag and arms its triggers)	按 id 启用另一个宏（保存状态并激活它的触发器）
Ends the recording that is running and saves it as a file	结束正在进行的录音并保存为文件
Entity	实体
Equals	等于
Event	事件
Event type	事件类型
Events	日程
Extra data (JSON)	附加数据（JSON）
Face down	屏幕朝下
Face up	屏幕朝上
Fade time (ms)	渐变时长（毫秒）
Falls below	降到低于
Fast	快速
Fetch Email	收取邮件
Field	字段
File	文件
File Details	文件详情
File name	文件名
File or folder	文件或文件夹
Files	文件
Find Calendar Events	查找日程
Find Pictures	查找图片
Finds photos and screenshots on this phone onto a list you can loop over	查找手机中的照片和屏幕截图，生成可循环遍历的列表
Fingerprint Gesture	指纹手势
Fire time	触发时刻
Fire when	触发时机
Fires immediately when the workflow starts (no external event)	工作流一开始就立即触发（没有外部事件）
Fires when a macro finishes executing after being triggered	当某个宏被触发并执行完毕时触发
Fires when a named variable changes value	当指定变量的值发生变化时触发
