# Japanese (ja). Plain text — loc/mkloc.py escapes ampersands.
# Terminology: Workflow=ワークフロー, macro=マクロ, node=ノード, trigger=トリガー,
# action=アクション, value=値, transform=変換, port=ポート, armed=有効,
# geofence=ジオフェンス, smart home=スマートホーム, canvas=キャンバス.
# Register: polite です/ます, which is the Japanese app convention.
accessibility_service_label	Ottomatic のボタントリガー
accessibility_service_summary	音量ボタンを押したときにマクロを開始できるようにします。
accessibility_service_description	Ottomatic はこれを音量ボタンの押下を検知するためだけに使用し、それによってマクロを開始できるようにします。画面の内容を読み取ることは決してなく、ボタン本来の動作を変えることもありません。音量キーはこれまでどおり機能します。
shortcut_new_macro_short	新しいマクロ
shortcut_new_macro_long	新しいマクロを作成
widget_run_tile_label	実行タイル
widget_panel_label	Ottomatic パネル
widget_run_tile_description	1 つのマクロを 1 タップで。手動トリガーを選んで、ホーム画面から実行できます。
widget_panel_description	エンジンの状態、問題、最後の実行、手動トリガーのグリッド。どれを表示するかは自由に選べます。
permission_bind_plugin_label	Ottomatic のノードを提供
permission_bind_plugin_description	このアプリが提供する追加のトリガーノードとアクションノードを Ottomatic が使えるようにします。アプリは自身の権限で自身のコードを実行します。Ottomatic が自身の権限を共有することはありません。
ai_provider_gemini	Google Gemini
ai_provider_anthropic	Anthropic Claude
ai_provider_openai	OpenAI (ChatGPT)
ai_provider_openrouter	OpenRouter
ai_provider_self_hosted	セルフホスト / OpenAI 互換
ai_default_name_gemini	Gemini
ai_default_name_anthropic	Claude
ai_default_name_openai	ChatGPT
ai_default_name_openrouter	OpenRouter
ai_default_name_self_hosted	セルフホスト
ai_console_gemini	Google AI Studio
ai_console_anthropic	Anthropic コンソール
ai_console_openai	OpenAI プラットフォーム
ai_console_openrouter	OpenRouter
ai_open_console	%1$s を開く
ai_cost_gemini	無料枠は十分にありますが、それはあなたの割り当てです。毎分 AI に問い合わせるマクロがあれば使い切ってしまいます。キーは同じページからいつでも失効させられます。
ai_cost_anthropic	リクエストはあなた自身の Anthropic クレジットに課金されるため、毎分 AI に問い合わせるマクロは費用がかかります。キーは同じページからいつでも失効させられます。
ai_cost_openai	リクエストはあなた自身の OpenAI アカウントに課金されるため、毎分 AI に問い合わせるマクロは費用がかかります。キーは同じページからいつでも失効させられます。
ai_cost_openrouter	リクエストはあなた自身の OpenRouter クレジットに課金され、価格は選んだモデルによって変わります。キーは同じページからいつでも失効させられます。
ai_cost_self_hosted	リクエストはあなた自身のサーバーにのみ送られ、他のどこにも行きません。費用はかからず、あなたが管理するネットワークから出ることもありません。マクロが実行されるときにサーバーへ到達できる必要があります。
ai_privacy_gemini	リクエストは Google のサーバーが応答するため、「AI に質問」ノードは少し時間がかかります。
ai_privacy_anthropic	リクエストは Anthropic のサーバーが応答するため、「AI に質問」ノードは少し時間がかかります。
